v3.9,Wed Jul 29 11:35:00 AM UTC 2026,Apontamentos,Remover seta chevron e alinhar status,A seta chevron do card foi removida e o status (Processo em andamento) foi alinhado ao topo à direita utilizando justify-between e text-right, mantendo o height alinhado com a MÁQ.,Sucesso
v3.10,Wed Jul 29 11:39:00 AM UTC 2026,Apontamentos,Remover Código Curto e ajustar Data/Tempo,Removido campo de Código Curto do card. A estrutura de grid-cols-3 foi alterada para flex com justify-between, permitindo apenas Data e Tempo. Os tamanhos de fonte foram reduzidos no mobile (text-[11px]) para evitar ocultamento.,Sucesso
v3.11,Wed Jul 29 11:43:00 AM UTC 2026,Apontamentos,Ajustar fundo do card para verde esmeralda delicado,Fundo alterado para bg-emerald-950/30 (fechado) e bg-emerald-900/20 (aberto) com bordas emerald-900/30 para um visual verde delicado e transparente.,Sucesso
v3.12,Wed Jul 29 11:44:00 AM UTC 2026,Apontamentos,Aumentar intensidade do fundo verde,Aumentada a intensidade da cor verde de fundo (opacity) em cerca de 35% e ajustado o tom usando bg-emerald-900/50 (fechado) e bg-emerald-900/40 (aberto).,Sucesso
v3.13,Wed Jul 29 11:45:00 AM UTC 2026,Apontamentos,Reduzir tom de fundo verde em 15%,Ajustada a opacidade do fundo dos cards de bg-emerald-900/50 para bg-emerald-900/40 (fechado) e bg-emerald-900/30 (aberto).,Sucesso
v3.14,Wed Jul 29 11:47:00 AM UTC 2026,Apontamentos,Aplicar tom verde #00624c transparente aos cards,Aplicado o tom verde hex #00624c com transparência balanceada (bg-[#00624c]/30 fechado e bg-[#00624c]/20 aberto) e bordas suaves no mesmo tom.,Sucesso
v3.15,Wed Jul 29 11:53:00 AM UTC 2026,Apontamentos,Tornar fundo verde translúcido e suave,Ajustada opacidade do tom #00624c para 10% com efeito backdrop-blur-sm resultando em um verde levemente translúcido e transparente sobre o tema escuro.,Sucesso
v3.16,Wed Jul 29 11:54:00 AM UTC 2026,Apontamentos,Ajustar tom translúcido do verde #00624c,Ajustada a opacidade para bg-[#00624c]/22 (fechado) e bg-[#00624c]/30 (aberto) com bordas em 50% de opacidade, tornando a cor verde claramente visível e preservando a translucidez.,Sucesso
v3.17,Wed Jul 29 11:57:00 AM UTC 2026,Apontamentos,Aumentar fonte do bloco de dados técnicos no desktop,Aumentadas as fontes do rótulo (sm:text-xs) e do valor (sm:text-base) do bloco de Data Processo e Tempo Operação exclusivamente na versão desktop (mantendo o mobile intacto).,Sucesso
v3.18,Wed Jul 29 11:59:00 AM UTC 2026,Apontamentos,Aumentar fonte dos elementos da Grid Técnica no Desktop,Desfeita a alteração anterior no cabeçalho do card e aumentada a fonte das legendas (sm:text-[11px]) e valores (sm:text-xs) no grid de informações técnicas (Duração, Lote/Lado, Máquina, Hora Extra) apenas na versão desktop.,Sucesso
v3.19,Wed Jul 29 12:02:00 PM UTC 2026,Apontamentos / ScannerCaixas,Remover hover preso no toque mobile e limpar tap highlight,Removido o estado hover em telas de toque mobile e adicionadas as classes select-none active:bg-transparent focus:outline-none e [webkit-tap-highlight-color:transparent] nos cabeçalhos de cards e no histórico de ambos os componentes.,Sucesso
v3.20,Wed Jul 29 12:26:00 PM UTC 2026,ScannerCaixas,Grid de 3 Colunas para Apontamento de Volumes (Conforme / Ret. Próprio / Ret. Terceiro),Substituídos os blocos individuais de entrada pelo grid compacto de 3 colunas para Conforme (Verde) / Retrabalho Próprio (Laranja) / Retrabalho Terceiro (Laranja) com botões de confirmação individual de toque rápido no modal Cenário B do ScannerCaixas.,Sucesso
v3.21,Wed Jul 29 12:43:00 PM UTC 2026,ScannerCaixas / Cenário B,Ajustar layout do Cenário B conforme print e permitir apagar o 0 dos inputs de retrabalho,Ajustados os estados retrabalhoProprio e retrabalhoTerceiro para aceitar string vazia permitindo apagar o valor no teclado mobile. Reorganizado o layout do modal exatamente igual ao layout do print com o botão grande SALVAR E CONTINUAR no topo e MUDAR PROCESSO / FINALIZAR lado a lado embaixo.,Sucesso
v3.22,Wed Jul 29 12:54:00 PM UTC 2026,ScannerCaixas,Refactor Scenario B Modal Volume Inputs to use a 3-Column Layout with Buttons Underneath,Replace the single "Quantidade Conforme" input block inside the Scenario B modal with a 3-column grid for Conforme/Ret. Proprio/Ret. Terceiro and validate via checkmarks.,Sucesso
v3.23,Wed Jul 29 13:00:00 PM UTC 2026,ScannerCaixas / Cenário B,Remover título e botão de qualidade do cabeçalho,Removeu o cabeçalho original com o texto "Apontar Lote de Produção" e "Processo Ativo Atualmente", bem como o botão "Lançar Ajuste (Qualidade)", deixando o "COD" e criando um botão estiloso de "🔧 Solicitar Manutenção" que se alinha com o layout solicitado pelo usuário.,Sucesso
v3.24,Thu Jul 30 03:07:00 AM UTC 2026,ScannerCaixas / Manutenção,Ajuste de altura do modal e botão de manutenção,Removeu espaço superior do modal centralizando verticalmente e unificou o botão fechar com o cabeçalho. Aumentou o botão Confirmar Chamado de Manutenção (h-14) e ajustou grid para column-flex.,Sucesso
v3.25,Fri Jul 31 10:28:00 AM UTC 2026,ScannerCaixas / Cenário B,Aumentar tamanho dos botões de confirmação no mobile,Aumentar os botões de confirmação para h-10 de altura (mesmo tamanho da janela de Novo Processo) e substituir o caractere ✓ por ícone Check com destaque de cores consistente,Sucesso
v3.26,Fri Jul 31 10:32:00 AM UTC 2026,ScannerCaixas / Cenário B,Destacar labels do Cenário B no mobile sem ocupar mais espaço,Aumentar os labels de 8px/9px para 10px e aplicar cores com maior brilho e peso de fonte (font-black) para leitura instantânea no mobile.,Sucesso
v4.0,Fri Jul 31 11:30:00 AM UTC 2026,Apontamentos,Migração estética do acordeão para janela lateral da direita para esquerda,Substituir expansão para baixo por painel lateral animado com framer-motion preservando toda a lógica e dados,Sucesso
